,0,1,2,3
0,0.0,-9.5,20.0,2260.932
1,0.0,-9.5,20.0,2260.952
2,0.0,-9.5,20.0,2260.972
3,0.0,-9.5,20.0,2260.992
4,0.0,-9.5,20.0,2261.012
5,0.0,-9.5,20.0,2261.032
6,0.0,-9.5,20.0,2261.052
7,0.0,-9.5,20.0,2261.072
8,0.0,-9.5,20.0,2261.092
9,0.0,-9.5,20.0,2261.132
10,0.0,-9.5,20.0,2261.176
11,0.0,-9.5,20.0,2261.176
12,0.0,-9.5,20.0,2261.176
13,0.0,-9.5,20.0,2261.192
14,0.0,-9.5,20.0,2261.212
15,0.0,-9.5,20.0,2261.248
16,0.0,-9.5,20.0,2261.288
17,0.0,-9.5,20.0,2261.288
18,0.0,-9.5,20.0,2261.296
19,0.0,-9.5,20.0,2261.312
20,0.0,-9.5,20.0,2261.352
21,0.0,-9.5,20.0,2261.352
22,0.0,-9.5,20.0,2261.392
23,0.0,-9.5,20.0,2261.392
24,0.0,-9.5,20.0,2261.412
25,0.0,-9.5,20.0,2261.428
26,0.0,-9.5,20.0,2261.456
27,0.0,-9.5,20.0,2261.472
28,0.0,-9.5,20.0,2261.492
29,0.0,-9.5,20.0,2261.512
30,0.0,-9.5,20.0,2261.532
31,0.0,-9.5,20.0,2261.552
32,0.0,-9.5,20.0,2261.572
33,0.0,-9.5,20.0,2261.592
34,0.0,-9.5,20.0,2261.612
35,0.0,-9.5,20.0,2261.632
36,0.0,-9.5,20.0,2261.652
37,0.0,-9.5,20.0,2261.672
38,0.0,-9.5,20.0,2261.692
39,0.0,-9.5,20.0,2261.712
40,0.0,-9.5,20.0,2261.732
41,0.0,-9.5,20.0,2261.768
42,0.0,-9.5,20.0,2261.784
43,0.0,-9.5,20.0,2261.792
44,0.0,-9.5,20.0,2261.828
45,0.0,-9.5,20.0,2261.872
46,0.0,-9.5,20.0,2261.872
47,0.0,-9.5,20.0,2261.872
48,0.0,-9.5,20.0,2261.892
49,0.0,-9.5,20.0,2261.912
50,0.0,-9.5,20.0,2261.952
51,0.0,-9.5,20.0,2261.952
52,0.0,-9.5,20.0,2261.992
53,0.0,-9.5,20.0,2261.992
54,0.0,-9.5,20.0,2262.012
55,0.0,-9.5,20.0,2262.032
56,0.0,-9.5,20.0,2262.072
57,0.0,-9.5,20.0,2262.084
58,0.0,-9.5,20.0,2262.128
59,0.0,-9.5,20.0,2262.128
60,0.0,-9.5,20.0,2262.172
61,0.0,-9.5,20.0,2262.172
62,0.0,-9.5,20.0,2262.172
63,0.0,-9.5,20.0,2262.192
64,0.0,-9.5,20.0,2262.212
65,0.0,-9.5,20.0,2262.248
66,0.0,-9.5,20.0,2262.292
67,0.0,-9.5,20.0,2262.292
68,0.0,-9.5,20.0,2262.292
69,0.0,-9.5,20.0,2262.312
70,0.0,-9.5,20.0,2262.332
71,0.0,-9.5,20.0,2262.372
72,0.0,-9.5,20.0,2262.372
73,0.0,-9.5,20.0,2262.392
74,0.0,-9.5,20.0,2262.412
75,0.0,-9.5,20.0,2262.448
76,0.0,-9.5,20.0,2262.488
77,0.0,-9.5,20.0,2262.488
78,0.0,-9.5,20.0,2262.496
79,0.0,-9.5,20.0,2262.512
80,0.0,-9.5,20.0,2262.548
81,0.0,-9.5,20.0,2262.592
82,0.0,-9.5,20.0,2262.592
83,0.0,-9.5,20.0,2262.592
84,0.0,-9.5,20.0,2262.612
85,0.0,-9.5,20.0,2262.632
86,0.0,-9.5,20.0,2262.676
87,0.0,-9.5,20.0,2262.676
88,0.0,-9.5,20.0,2262.692
89,0.0,-9.5,20.0,2262.712
90,0.0,-9.5,20.0,2262.76
91,0.0,-9.5,20.0,2262.76
92,0.0,-9.5,20.0,2262.792
93,0.0,-9.5,20.0,2262.792
94,0.0,-9.5,20.0,2262.812
95,0.0,-9.5,20.0,2262.832
96,0.0,-9.5,20.0,2262.872
97,0.0,-9.5,20.0,2262.872
98,0.0,-9.5,20.0,2262.892
99,0.0,-9.5,20.0,2262.912
100,0.0,-9.5,20.0,2262.952
101,0.0,-9.5,20.0,2262.952
102,0.0,-9.5,20.0,2262.992
103,0.0,-9.5,20.0,2262.992
104,0.0,-9.5,20.0,2263.012
